id,type,code,latin,persian,description,parent_id,is_active,is_default
db9c19da-d876-4d6a-9e1f-83706530e566,ENUM_TYPE,AZR,Azar,آذر,Azar,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
db7d12e9-203c-445b-b091-38a9a7d2ac54,ENUM_TYPE,DEY,Dey,دی,Dey,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
44277984-3a27-4544-83c6-2acefcae06c5,ENUM_TYPE,BAH,Bahman,بهمن,Bahman,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
771c4758-2768-42c6-bfb8-b3fb344bb34a,ENUM_TYPE,ESF,Esfand,اسفند,Esfand,6b248502-2905-4fa9-9e9a-4b37916b9598,true,false
99c95797-ac8e-4382-aae1-b84f6f093920,ENUM_TYPE,ENUM_WEEK_OF_MONTH,Week of Month,هفته‌های ماه,Parent category for هفته‌های ماه,,true,false
acf50ab1-7d3e-4c15-bc12-7fa38e4f11ca,ENUM_TYPE,W01,First Week,هفته اول,First week of month,f152690c-91ef-40a6-bfa6-c181d732472e,true,false
424f3c1b-b85e-49b1-8735-8f285f503985,ENUM_TYPE,W02,Second Week,هفته دوم,Second week of month,f152690c-91ef-40a6-bfa6-c181d732472e,true,false
5ba386cc-ca9e-44d6-a8e5-a67515cff67c,ENUM_TYPE,W03,Third Week,هفته سوم,Third week of month,f152690c-91ef-40a6-bfa6-c181d732472e,true,false
d8e74f33-922a-475d-8406-e3737bc7fa20,ENUM_TYPE,W04,Fourth Week,هفته چهارم,Fourth week of month,f152690c-91ef-40a6-bfa6-c181d732472e,true,false
4761e5b9-5731-46ce-9eb7-cab8bc88f648,ENUM_TYPE,W05,Last Week,هفته آخر,Last week of month,f152690c-91ef-40a6-bfa6-c181d732472e,true,false
b5bebb80-0cc1-45c9-a2b3-d0c446000467,ENUM_TYPE,ENUM_HOLIDAY_RULE,Holiday Rule,قانون برخورد با تعطیلات,Parent category for قانون برخورد با تعطیلات,,true,false
5c148e22-fa00-4725-b993-cf20f147cd51,ENUM_TYPE,NXT,Next Working Day,انتقال به روز کاری بعد,Move meeting to next working day,49b13fbb-7da2-4d6e-a863-c792a67b7b1b,true,false
ec791e97-7f82-4247-baa2-071e7cdb5254,ENUM_TYPE,PRV,Previous Working Day,انتقال به روز کاری قبل,Move meeting to previous working day,49b13fbb-7da2-4d6e-a863-c792a67b7b1b,true,false
55581af8-5068-4716-9309-fe09b3cd6115,ENUM_TYPE,SKP,Skip,حذف جلسه,Skip meeting for this occurrence,49b13fbb-7da2-4d6e-a863-c792a67b7b1b,true,false
36756ec4-7bc1-44cb-8742-07b9227395d0,ENUM_TYPE,EXP,Exception,استثناء,Meeting remains in place on holiday without rescheduling,49b13fbb-7da2-4d6e-a863-c792a67b7b1b,true,false
